Installationsarbeten,Solna stad,2019-09-19,"2019-10-21
Om 30 dagar"
"Installation solcellsanläggning Kv Venus, distrikt Öster",Bostads AB Poseidon,2019-09-19,"2019-10-17
Om 26 dagar"
SIU av trafik och underhåll i Tågsystem 3,"Region Skåne, Skånetrafiken",2019-09-19,"2019-11-05
Om 45 dagar"
Direktupphandling avseende juridisk expertis gällande prövningsprocesser för klimatanpassningsåtgärder med syfte att minska effekterna av erosion vid den skånska kusten,LÄNSSTYRELSEN I SKÅNE LÄN,2019-09-19,"2019-10-10
Om 19 dagar"
Rivning av Knallerhyttan och Kvärk på Skäralid,LÄNSSTYRELSEN I SKÅNE LÄN,2019-09-19,"2019-10-10
Om 19 dagar"
Rekvisitionsläkemedel 2020,Region Västernorrland,2019-09-19,"2019-10-21
Om 30 dagar"
RFI avseende servicemätningar,Sveriges Kommuner och Landsting,2019-09-19,"2019-10-10
Om 19 dagar"
"UPPHANDLING BYGGSERVICE BYGGNADSARBETEN RAMAVTAL, GÄLLIVARE KOMMUN & TOP BOSTÄDER AB",Gällivare Kommun,2019-09-19,"2019-10-21
Om 30 dagar"
"Ramavtal för tekniska konsulttjänster vid om-, till- och nybyggnadsprojekt",Kopparstaden AB,2019-09-19,"2019-10-21
Om 30 dagar"
Kv Eken 7 Ulriksbergskolan,"VÖFAB, Växjö Fastighetsförvaltning Aktiebolag",2019-09-19,"2019-11-11 23:59
Om 51 dagar"
Reinsurance 2020,Kommunassurans Syd Försäkrings AB,2019-09-18,"2019-10-01
Om 10 dagar"
"TI 2019-2037 Markentreprenad Båtvarvet, Södertälje kommun",Telge Inköp AB,2019-09-19,"2019-10-25
Om 34 dagar"
"2019 Ambulanskläder, Region Norrbotten",Region Norrbotten,2019-09-19,"2019-10-23
Om 32 dagar"
Uppdragsutbildning specialistsjuksköterska anestesi och operation 60 hp,Västra Götalandsregionen,2019-09-18,
Revisionstjänster 2019,Kumla kommun,2019-09-18,"2019-10-23
Om 32 dagar"
Rivning Vattenverk Norberg,NORRA VÄSTMANLANDS KOMMUNALTEKNIKFÖRBUND,2019-09-18,"2019-10-20
Om 29 dagar"
Upphandling inför start av näringsverksamhet Malmö,Arbetsförmedlingen,2019-09-18,"2019-10-09 23:59
Om 18 dagar"
Oberoende observatör,Stockholms Stadshus AB,2019-09-18,"2019-10-09
Om 18 dagar"
Ersättningsetablering fysioterapi,Jönköpings läns landsting,2019-09-18,"2019-11-13
Om 53 dagar"
Kalkspridning med helikopter Aloppan hösten 2019,Bergs kommun,2019-09-18,"2019-10-07
Om 16 dagar"
Brandlabb Entreprenad,RISE RESEARCH INSTITUTES OF SWEDEN AB,2019-09-18,"2019-10-23
Om 32 dagar"
